
British Columbia
ABBOTSFORD (2011/06/02)
Candidate       Party   Occupation      Votes   Votes (%)       Elected
FAST, Ed        C       parliamentarian         32,493  65.02%  
MURRAY, David Alan      N.D.P.  municipal worker        10,089  20.19%  
HARDIN, Madeleine       Lib     instructor/professor    4,968   9.94%   
BRYCE, Daniel   G.P.    postal clerk    2,138   4.28%   
MACKAY, David   M.-L.   retired postal worker   286     0.57%   
BRITISH COLUMBIA SOUTHERN INTERIOR (2011/05/02)
Candidate       Party   Occupation      Votes   Votes (%)       Elected
ATAMANENKO, Alex        N.D.P.  parliamentarian         25,206  50.92%  
HILL, Stephen   C       financial advisor       19,273  38.93%  
HUNT, Bryan     G.P.    software developer      3,153   6.37%   
LAVELL, Shan    Lib     nurse   1,872   3.78%   
BURNABY--DOUGLAS (2011/05/02)
Candidate       Party   Occupation      Votes   Votes (%)       Elected
STEWART, Kennedy        N.D.P.  professor       20,943  43.00%  
LEUNG, Ronald   C       minister assistant      19,932  40.92%  
LOW, Ken        Lib     retired         5,451   11.19%  
MERLO, Adrianne G.P.    teacher         1,754   3.60%   
DAHLBY, Lewis Clarke    Libert. business owner  420     0.86%   
GIDORA, George  Comm.   transit worker  153     0.31%   
SPROULE, Brian  M.-L.   health care worker      57      0.12%   
BURNABY--NEW WESTMINSTER (2011/05/02)
Candidate       Party   Occupation      Votes   Votes (%)       Elected
JULIAN, Peter   N.D.P.  parliamentarian         22,193  49.67%  
FORSETH, Paul   C       consultant      16,009  35.83%  
EVANS, Garth    Lib     lawyer  4,496   10.06%  
MCLAREN, Carrie G.P.    accounting clerk        1,731   3.87%   
PIERCE, Tyler   Libert. software developer      160     0.36%   
THERIAULT, Joseph       M.-L.   residential care attendant      94      0.21%   
CARIBOO--PRINCE GEORGE (2011/05/02)
Candidate       Party   Occupation      Votes   Votes (%)       Elected
HARRIS, Dick    C       parliamentarian         24,443  56.17%  
VAN BARNEVELD, Jon      N.D.P.  forestry worker         13,135  30.18%  
REDL, Heidi     G.P.    rancher         2,702   6.21%   
LALLI, Sangeeta Lib     student         2,200   5.06%   
THIESSEN, Henry C.H.P.  commercial pilot        440     1.01%   
RONAN, Jon      Ind.    renovator       394     0.91%   
TURNER, Jordan  Rhino   lifeguard and swim instructor   204     0.47%   
CHILLIWACK--FRASER CANYON (2011/05/02)
Candidate       Party   Occupation      Votes   Votes (%)       Elected
STRAHL, Mark    C       executive assistant     28,160  57.20%  
O'MAHONY, Gwen  N.D.P.  community support worker        12,691  25.78%  
JANZEN, Diane   Lib     education manager       5,320   10.81%  
HOSKINS, Jamie  G.P.    employment counsellor   2,706   5.50%   
EDWARDS, Clive  WBP     motion picture technician       180     0.37%   
O'DONNELL, Dorothy-Jean M.-L.   lawyer  173     0.35%   
DELTA--RICHMOND EAST (2011/05/02)
Candidate       Party   Occupation      Votes   Votes (%)       Elected
WHITE, Randy    C       accountant      29,587  61.37%  
FINDLAY, Kerry-Lynne    C       lawyer  26,059  54.24%  
SLATER, Nic     N.D.P.  businessman     11,181  23.27%  
GILL, Moe       Lib     farmer  9,617   19.95%  
BEESLEY, Alan   Lib     businessman     8,112   16.88%  
